id	count	class
GO:0008150	24150	biological_process
GO:0005575	23818	cellular_component
GO:0003674	23290	molecular_function
GO:0005623	16251	cell
GO:0044464	16245	cell part
GO:0009987	14982	cellular process
GO:0005622	13898	intracellular
GO:0044424	13790	intracellular part
GO:0005488	13101	binding
GO:0065007	12383	biological regulation
GO:0043226	12219	organelle
GO:0043229	11955	intracellular organelle
GO:0050789	11790	regulation of biological process
GO:0050794	11131	regulation of cellular process
GO:0043227	11002	membrane-bounded organelle
GO:0005737	10826	cytoplasm
GO:0043231	10273	intracellular membrane-bounded organelle
GO:0016020	9339	membrane
GO:0005515	8886	protein binding
GO:0008152	8574	metabolic process
GO:0050896	8549	response to stimulus
GO:0044444	8193	cytoplasmic part
GO:0071704	8105	organic substance metabolic process
GO:0044238	7747	primary metabolic process
GO:0032501	7605	multicellular organismal process
GO:0044237	7524	cellular metabolic process
GO:0044422	7333	organelle part
GO:0044425	7318	membrane part
GO:0006807	7175	nitrogen compound metabolic process
GO:0044446	7064	intracellular organelle part
GO:0005634	6820	nucleus
GO:0051716	6813	cellular response to stimulus
GO:0043170	6457	macromolecule metabolic process
GO:0019222	6276	regulation of metabolic process
GO:0031224	6047	intrinsic component of membrane
GO:0016021	5883	integral component of membrane
GO:0003824	5853	catalytic activity
GO:0048518	5833	positive regulation of biological process
GO:0060255	5831	regulation of macromolecule metabolic process
GO:0031323	5829	regulation of cellular metabolic process
GO:0080090	5697	regulation of primary metabolic process
GO:0051171	5565	regulation of nitrogen compound metabolic process
GO:0032502	5556	developmental process
GO:0032991	5504	protein-containing complex
GO:0007154	5421	cell communication
GO:0043167	5380	ion binding
GO:0023052	5302	signaling
GO:0071944	5267	cell periphery
GO:0044260	5264	cellular macromolecule metabolic process
GO:0071840	5248	cellular component organization or biogenesis
GO:0048522	5242	positive regulation of cellular process
GO:0048856	5194	anatomical structure development
GO:0097159	5166	organic cyclic compound binding
GO:0005886	5135	plasma membrane
GO:0048519	5095	negative regulation of biological process
GO:0016043	5061	cellular component organization
GO:1901363	5060	heterocyclic compound binding
GO:0007165	4953	signal transduction
GO:0007275	4865	multicellular organism development
GO:0051179	4656	localization
GO:1901564	4604	organonitrogen compound metabolic process
GO:0048523	4593	negative regulation of cellular process
GO:0034641	4268	cellular nitrogen compound metabolic process
GO:0010468	4248	regulation of gene expression
GO:0048731	4229	system development
GO:0043232	4104	intracellular non-membrane-bounded organelle
GO:0043228	4104	non-membrane-bounded organelle
GO:0009889	4088	regulation of biosynthetic process
GO:1901360	4036	organic cyclic compound metabolic process
GO:0031326	4029	regulation of cellular biosynthetic process
GO:0044428	3938	nuclear part
GO:0042221	3927	response to chemical
GO:0010556	3856	regulation of macromolecule biosynthetic process
GO:0019219	3850	regulation of nucleobase-containing compound metabolic process
GO:0006725	3846	cellular aromatic compound metabolic process
GO:0043233	3838	organelle lumen
GO:0031974	3838	membrane-enclosed lumen
GO:0070013	3833	intracellular organelle lumen
GO:0046483	3782	heterocycle metabolic process
GO:0065008	3775	regulation of biological quality
GO:2000112	3762	regulation of cellular macromolecule biosynthetic process
GO:0009058	3761	biosynthetic process
GO:0012505	3747	endomembrane system
GO:0019538	3729	protein metabolic process
GO:0048869	3723	cellular developmental process
GO:1901576	3700	organic substance biosynthetic process
GO:0048583	3669	regulation of response to stimulus
GO:0006139	3649	nucleobase-containing compound metabolic process
GO:0044249	3617	cellular biosynthetic process
GO:0030154	3592	cell differentiation
GO:0051234	3565	establishment of localization
GO:0043169	3523	cation binding
GO:0051252	3516	regulation of RNA metabolic process
GO:0031981	3485	nuclear lumen
GO:0006810	3432	transport
GO:0046872	3421	metal ion binding
GO:2001141	3322	regulation of RNA biosynthetic process
GO:1903506	3316	regulation of nucleic acid-templated transcription
GO:0006355	3301	regulation of transcription, DNA-templated
GO:0009893	3268	positive regulation of metabolic process
